company_id,company_name,company_type,sector,ctc_lpa,min_cgpa_required,programming_skill_required,data_analysis_required,communication_required,min_internships,min_projects,hiring_volume
COMP001,Company 1,Service Based,IT Services,4.39,7.4,88,81,75,2,2,28
COMP002,Company 2,MNC,Software Product,7.06,7.3,79,40,57,1,5,18
COMP003,Company 3,MNC,EdTech,7.3,7.2,91,62,71,1,3,26
COMP004,Company 4,Service Based,Healthcare Tech,5.13,6.1,74,82,86,1,2,48
COMP005,Company 5,MNC,EdTech,7.94,6.1,89,74,89,1,2,46
COMP006,Company 6,Service Based,IT Services,6.09,6.9,85,76,75,2,4,13
COMP007,Company 7,Startup,IT Services,5.39,6.3,93,71,74,1,2,5
COMP008,Company 8,MNC,EdTech,14.23,6.9,88,42,61,1,4,41
COMP009,Company 9,Product Based,Fintech,9.39,6.1,89,44,61,0,3,25
COMP010,Company 10,Service Based,IT Services,6.52,7.3,69,44,85,0,4,14
COMP011,Company 11,Startup,Software Product,8.01,7.1,63,55,73,2,3,32
COMP012,Company 12,Service Based,Consulting,8.71,7.4,94,72,82,2,4,41
COMP013,Company 13,Startup,IT Services,11.69,7.8,88,52,61,0,3,39
COMP014,Company 14,Service Based,Software Product,5.57,7.7,85,73,56,0,2,49
COMP015,Company 15,MNC,E-commerce,11.6,7.9,69,76,58,1,4,39
COMP016,Company 16,Service Based,Software Product,5.13,7.2,82,71,86,0,4,17
COMP017,Company 17,Startup,Consulting,4.82,7.8,79,64,71,0,4,40
COMP018,Company 18,Product Based,IT Services,18.17,6.7,87,53,80,2,4,20
COMP019,Company 19,Service Based,Consulting,7.42,7.1,80,75,72,1,4,49
COMP020,Company 20,MNC,Software Product,7.63,7.1,64,74,72,1,4,22
COMP021,Company 21,MNC,IT Services,15.38,7.2,66,52,89,0,3,31
COMP022,Company 22,Startup,Fintech,8.11,6.5,67,84,50,2,2,11
COMP023,Company 23,MNC,E-commerce,10.85,7.4,78,83,88,1,3,23
COMP024,Company 24,Product Based,Consulting,11.04,6.8,79,67,57,0,2,43
COMP025,Company 25,Startup,Fintech,5.9,6.8,84,72,87,1,3,48
COMP026,Company 26,MNC,Fintech,7.47,7.8,80,50,86,0,4,24
COMP027,Company 27,Product Based,EdTech,15.55,7.4,90,40,52,2,2,15
COMP028,Company 28,Product Based,Healthcare Tech,13.47,7.2,67,67,85,1,3,32
COMP029,Company 29,Product Based,IT Services,11.12,6.9,76,48,82,1,2,32
COMP030,Company 30,Product Based,Fintech,18.93,7.6,77,44,74,1,5,34
COMP031,Company 31,MNC,Fintech,8.81,6.8,60,57,81,2,4,25
COMP032,Company 32,Startup,IT Services,11.76,7.7,72,72,83,0,4,5
COMP033,Company 33,Product Based,EdTech,18.38,7.6,90,44,87,2,4,41
COMP034,Company 34,Startup,Software Product,10.8,6.5,73,48,50,2,2,8
COMP035,Company 35,Product Based,IT Services,17.08,6.1,90,47,88,1,3,7
COMP036,Company 36,Service Based,E-commerce,8.81,7.9,89,69,66,0,4,27
COMP037,Company 37,Startup,Fintech,9.11,7.6,93,77,83,1,4,31
COMP038,Company 38,Product Based,Software Product,12.18,7.0,83,54,79,1,4,21
COMP039,Company 39,MNC,E-commerce,12.05,7.7,76,59,73,0,3,6
COMP040,Company 40,Service Based,Consulting,7.27,6.7,82,55,80,1,5,12
COMP041,Company 41,Product Based,E-commerce,12.15,7.8,62,66,78,2,2,23
COMP042,Company 42,MNC,Software Product,10.06,6.4,80,45,50,1,5,30
COMP043,Company 43,MNC,IT Services,12.54,7.4,68,65,71,0,3,47
COMP044,Company 44,MNC,Fintech,7.03,7.7,67,74,64,1,5,26
COMP045,Company 45,Product Based,E-commerce,12.43,6.9,85,53,56,1,4,47
COMP046,Company 46,Service Based,Fintech,9.14,6.7,74,64,86,0,4,21
COMP047,Company 47,Product Based,Software Product,14.42,6.5,72,59,74,1,4,45
COMP048,Company 48,Service Based,EdTech,7.3,7.5,67,79,68,1,2,10
COMP049,Company 49,MNC,Software Product,9.69,7.0,65,76,82,0,2,10
COMP050,Company 50,Service Based,E-commerce,9.03,6.2,89,70,73,2,4,7
