student_id,programming_skills,data_analysis_skills,web_development,database_skills,communication,teamwork,problem_solving,num_internships,num_projects,num_certifications,preferred_domain,years_coding_experience
STU2024_0001,64,58,64,75,62,60,79,0,6,2,AI/ML,1.002336297523043
STU2024_0005,70,62,51,53,66,67,63,1,6,1,Mobile Development,2.8226345557043153
STU2024_0011,63,80,68,58,64,70,72,3,2,2,Data Science,2.275467623473734
STU2024_0013,64,68,38,35,59,69,74,1,3,1,AI/ML,1.975990992289793
STU2024_0019,50,56,53,74,73,50,74,0,6,2,Cloud Computing,1.8804645241541142
STU2024_0023,63,78,72,72,73,76,76,2,3,0,AI/ML,1.9755499660802411
STU2024_0031,68,76,54,69,69,56,70,2,3,1,Data Science,1.0762573802322857
STU2024_0032,78,45,73,70,67,60,57,2,2,0,Web Development,3.084354799119114
STU2024_0034,69,77,52,59,56,67,81,1,2,1,AI/ML,1.3301557735830303
STU2024_0040,64,62,40,67,74,70,72,1,2,0,Cloud Computing,1.7323765667433224
STU2024_0045,59,57,28,76,69,67,78,2,2,4,Web Development,2.8286930019396905
STU2024_0046,50,53,56,63,63,58,64,1,6,0,Cloud Computing,1.2425599789981456
STU2024_0054,51,56,57,78,68,69,75,0,3,2,Web Development,2.7726788295647253
STU2024_0071,70,46,60,49,74,58,84,3,2,1,Software Development,1.627214862213141
STU2024_0074,80,66,47,52,66,68,69,2,2,0,Web Development,3.177867036610718
STU2024_0077,69,71,77,64,77,69,61,2,4,0,Software Development,1.0542260908465626
STU2024_0078,53,66,81,54,62,80,78,2,2,1,AI/ML,2.179293174000281
STU2024_0081,93,66,70,60,82,63,91,0,4,0,Web Development,3.305662042918927
STU2024_0084,46,61,64,67,67,70,88,3,1,1,Software Development,1.950766015468833
STU2024_0091,79,66,40,63,73,58,72,2,6,0,Web Development,1.8858717652568162
